Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Engenho Novo;2;1;0;69;1250.0;600.0;0.0;18.115942028985508;Apartamento
Apartamento;Camorim;2;1;0;48;1000.0;340.0;90.0;20.83333333333333;Apartamento
Apartamento;Barra da Tijuca;2;1;1;87;2300.0;1482.0;251.0;26.436781609195403;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;800.0;130.0;21.428571428571427;Apartamento
Apartamento;Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0;25.33333333333333;Apartamento
Apartamento;Barra da Tijuca;2;1;1;80;3500.0;1100.0;140.0;43.75;Apartamento
Apartamento;Copacabana;3;0;2;130;4000.0;950.0;200.0;30.76923076923077;Apartamento
Apartamento;Cascadura;3;0;0;58;990.0;100.0;0.0;17.06896551724138;Apartamento
Apartamento;Humaitá;2;1;0;72;2900.0;815.0;96.0;40.27777777777778;Apartamento
Apartamento;Jacarepaguá;2;1;2;68;1700.0;739.0;0.0;25.0;Apartamento
Apartamento;São Conrado;4;2;1;230;5150.0;2225.0;350.0;22.39130434782609;Apartamento
Apartamento;Pechincha;2;1;1;61;1000.0;489.0;0.0;16.39344262295082;Apartamento
Apartamento;Copacabana;3;1;0;290;8000.0;2032.0;7000.0;27.58620689655172;Apartamento
Apartamento;Tijuca;2;1;0;72;1500.0;734.0;0.0;20.83333333333333;Apartamento
Apartamento;Praia da Bandeira;2;1;0;90;1400.0;480.0;85.0;15.555555555555555;Apartamento
Apartamento;Tijuca;3;0;0;86;1500.0;690.0;83.0;17.441860465116278;Apartamento
Apartamento;Ipanema;3;2;1;200;9500.0;3600.0;1500.0;47.5;Apartamento
Apartamento;Grajaú;2;0;0;53;1200.0;270.0;17.0;22.641509433962263;Apartamento
Apartamento;Copacabana;2;0;1;120;3800.0;1413.0;314.0;31.666666666666668;Apartamento
Apartamento;Ipanema;3;2;1;108;6000.0;2100.0;466.0;55.55555555555556;Apartamento
Apartamento;Ipanema;3;2;1;220;9000.0;3600.0;1400.0;40.90909090909091;Apartamento
Apartamento;Ipanema;1;0;1;46;1800.0;936.0;86.0;39.130434782608695;Apartamento
Apartamento;Saúde;2;0;0;65;1300.0;468.0;30.0;20.0;Apartamento
Apartamento;Ipanema;1;0;1;48;2100.0;540.0;81.0;43.75;Apartamento
Apartamento;Flamengo;2;1;1;90;3000.0;1200.0;120.0;33.333333333333336;Apartamento
Apartamento;Itanhangá;2;0;0;56;1200.0;781.0;26.0;21.428571428571427;Apartamento
